Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
noni-starter-kit-celimax,NONI Starter Kit (Calming + Radiance),<p>Kit complet de soins apaisants et illuminants avec les produits signature Celimax. Parfait pour débuter une routine skincare luxe. Ce kit deux-en-un combine les meilleurs actifs apaisants pour une peau lumineuse et équilibrée.</p>,Celimax,Kit soin,"skincare,kit,apaisant,illuminant,celimax",TRUE,Titre,Taille unique,CEL-KIT-001,0,shopify,10,continue,manual,35,45,TRUE,FALSE,https://images.unsplash.com/photo-g6q3lFAe3kA?w=600&q=80&auto=format&fit=crop,NONI Starter Kit Celimax,active
madagascar-centella-duo-skin1004,Madagascar Centella Quick Calming Duo,<p>Duo apaisant à base de centella malgache. Réduit les rougeurs et apaise les peaux sensibles. Formule légère et rapide d'absorption. Idéal pour les peaux réactives et irritées.</p>,Skin1004,Soin/Crème,"skincare,centella,apaisant,duo,skin1004,peaux-sensibles",TRUE,Titre,Taille unique,SK1-CAL-001,0,shopify,15,continue,manual,32,42,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Madagascar Centella Calming Duo Skin1004,active
snow-white-spot-gel-secret-key,Snow White Spot Gel,<p>Gel concentré anti-taches pour les imperfections localisées. Éclaircissant et efficace sur les taches pigmentaires. Texture légère qui pénètre rapidement sans résidu.</p>,Secret Key,Gel ciblé,"skincare,anti-taches,gel,eclaircissant,secret-key",TRUE,Titre,Taille unique,SK-SPO-001,0,shopify,20,continue,manual,18,26,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Snow White Spot Gel Secret Key,active
peel-shot-kojic-spray-dr-melaxin,Peel Shot Exfoliating Kojic Acid Turmeric Spray 200ml,<p>Spray exfoliant puissant pour corps et pieds. Acide kojique + curcuma. Résultats visibles en 1-2 semaines. Texture spray légère et pratique pour une application uniforme.</p>,Dr.Melaxin,Spray exfoliant,"skincare,exfoliant,corps,pieds,acide-kojique,curcuma,dr-melaxin",TRUE,Titre,200ml,DRM-KOJ-001,0,shopify,15,continue,manual,28,38,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Peel Shot Kojic Acid Turmeric Spray Dr.Melaxin,active
peel-shot-black-rice-ampoule-dr-melaxin,Peel Shot Exfoliating Black Rice Ampoule 80ml,<p>Ampoule exfoliante au riz noir. Eau de son de riz + niacinamide. Texture légère et efficace. Le riz noir est riche en antioxydants pour un teint lumineux.</p>,Dr.Melaxin,Ampoule,"skincare,ampoule,exfoliant,riz-noir,niacinamide,dr-melaxin",TRUE,Titre,80ml,DRM-BRC-001,0,shopify,15,continue,manual,24,34,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Peel Shot Black Rice Ampoule Dr.Melaxin,active
peel-shot-white-rice-ampoule-dr-melaxin,Peel Shot Exfoliating White Rice Ampoule 80ml,<p>Ampoule exfoliante au riz blanc. Nettoyage en profondeur et luminosité. Formule douce pour tous les types de peaux. Idéale en cure de 4 semaines.</p>,Dr.Melaxin,Ampoule,"skincare,ampoule,exfoliant,riz-blanc,dr-melaxin",TRUE,Titre,80ml,DRM-WRC-001,0,shopify,15,continue,manual,24,34,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Peel Shot White Rice Ampoule Dr.Melaxin,active
rose-pdrn-serum-numbuzin,Rose PDRN Collagen Plumping Serum No.2 - 30ml,<p>Sérum repulpant à base de PDRN et rose. 6 peptides pour l'élasticité. Anti-rides et fermeté maximale. Le PDRN (Polydeoxyribonucleotide) est un actif régénérant de pointe utilisé en médecine esthétique.</p>,Numbuzin,Sérum,"skincare,serum,pdrn,collagene,anti-rides,peptides,numbuzin",TRUE,Titre,30ml,NUB-RPD-001,0,shopify,10,continue,manual,38,52,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Rose PDRN Collagen Plumping Serum Numbuzin,active
dark-spot-serum-axis-y,Dark Spot Correcting Glow Serum,"<p>Sérum correcteur de taches avec niacinamide 5% + squalane. Unifie le teint et illumine. Formule douce adaptée à tous types de peaux, y compris sensibles.</p>",Axis-Y,Sérum ciblé,"skincare,serum,anti-taches,niacinamide,squalane,axis-y,eclaircissant",TRUE,Titre,Taille unique,AXY-DSC-001,0,shopify,12,continue,manual,32,44,TRUE,FALSE,https://images.unsplash.com/photo-j24HPh0Q84g?w=600&q=80&auto=format&fit=crop,Dark Spot Correcting Glow Serum Axis-Y,active
clinique-cleansing-balm-125ml,Take The Day Off Cleansing Balm 125ml,<p>Baume démaquillant fondant qui dissout tous les maquillages. Formule douce recommandée par les dermatologues. S'émulsionne au contact de l'eau pour un rinçage facile et complet.</p>,Clinique,Baume démaquillant,"skincare,demaquillant,baume,clinique,peaux-sensibles,dermatologique",TRUE,Titre,125ml,CLI-TDO-001,0,shopify,10,continue,manual,36,48,TRUE,FALSE,https://images.unsplash.com/photo-ShuXkYOkDvs?w=600&q=80&auto=format&fit=crop,Take The Day Off Cleansing Balm Clinique,active
numbuzin-mask-cleansing-balm-3,Skin Softening Mask-Cleansing Balm No.3,<p>Masque nettoyant 2-en-1. Texture verte apaisante. Nettoie en profondeur tout en adoucissant la peau. Double action: démaquillage + soin en un seul geste.</p>,Numbuzin,Masque nettoyant,"skincare,masque,nettoyant,2-en-1,numbuzin,apaisant",TRUE,Titre,Taille unique,NUB-MSK-001,0,shopify,10,continue,manual,29,40,TRUE,FALSE,https://images.unsplash.com/photo-DIoJUtrr-_o?w=600&q=80&auto=format&fit=crop,Skin Softening Mask Cleansing Balm Numbuzin,active
